"album"|"alt_genre"
"Sanguinarian Context"|"Gothic Metal"
"Among Mortals"|"Gothic Metal"
"Dead or Alive"|"Metalcore"
"Secrets"|"Metalcore"
"The Darkest Road"|"Metalcore"
"Before the Dimming Light - EP"|"Death Metal"
"As All Light Leaves Her"|"Death Metal"
"Eventuality"|"Thrash Metal"
"Natural Causes"|"Thrash Metal"
"Keeping Nothing"|"Gothic Metal"
"Griseus"|"Folk Metal"
"Vengeance War 'Till Death"|"Death Metal"
"Nadir"|"Death Metal"
"Our Ashes Built Mountains"|"Death Metal"
"Yeest"|"Grindcore"
"Blood Duster"|"Grindcore"
"Rise Radiant (Bonus Tracks Version)"|"Rock"
"The Tide, the Thief & River's End (Re-issue 2017)"|"Rock"
"In Contact"|"Rock"
"Moments from Ephemeral City (Re-issue 2017)"|"Rock"
"Colossus"|"Rock"
"Bloom"|"Rock"
"Faith and Failure"|"Power Metal"
"Red Giant"|"Power Metal"
"Black Ocean"|"Power Metal"
"Avalon"|"Melodic Death Metal"
"Ratio"|"Melodic Death Metal"
"The Human Connection"|"Melodic Death Metal"
"Chapter II - The Fallen"|"Grindcore"
"They Whispered You Had Risen"|"Grindcore"
"Duality"|"Power Metal"
"Desensitized"|"Power Metal"
"Intro - Mourning September"|"Death Metal"
"Liberator"|"Power Metal"
"As the Truth Appears"|"Power Metal"
"Proving Ground - EP"|"Metalcore"
"Where The Darkness Screams (Bonus Track off ""Chronic Pain)"|"Industrial Metal"
"Black Dog"|"Industrial Metal"
"The Last Moment"|"Gothic"
"Wires of Creation"|"Melodic Death Metal"
"Weight of Redemption"|"Groove Metal"
"The Vengeance Paradox"|"Groove Metal"
"Rainmaker"|"Hard Rock"
"Fair Warning"|"Hard Rock"
"The Burden of Isolation"|"Grindcore"
"God Has a Plan - EP"|"Grindcore"
"Tales from the Gutter - EP"|"Grindcore"
"Drown In Solitude"|"Funeral Doom Metal"
"Ceremonial Conjuration - EP"|"Thrash Metal"
"A Call to Arms"|"Thrash Metal"
"Realm of the Damned"|"Thrash Metal"
"Eve of the Conqueror"|"Thrash Metal"
"Wrath of the Reaper"|"Death Metal"
"Morbid Reality"|"Death Metal"
"Under the Spell"|"Death Metal"
"II: The Broken Passage"|"Sludge Metal"
"The Stench of Hardcore Pub Trash"|"Grindcore"
"Bite Your Head Off"|"Grindcore"
"Dead Set"|"Grindcore"
"Ugly Produce"|"Grindcore"
"Lizzard Wizzard"|"Doom"
"Total War Power Bastard"|"Doom"
"Volume III: Hell's Likely"|"Metal"
"Mount the Mountain"|"Metal"
"Volume IV - Hammered Again"|"Metal"
"We, The Forlorn"|"Death Metal"
"Under the Fading Light"|"Death Metal"
"Warning of Danger"|"Thrash Metal"
"Escape to Nowhere"|"Thrash Metal"
"The Curse / Nightmares"|"Thrash Metal"
"The Curse / Nightmares"|"Thrash Metal"
"Battle Cry"|"Thrash Metal"
"Eternal Black Dawn"|"Thrash Metal"
"Glorification of a Myth"|"Thrash Metal"
"Emanations"|"Thrash Metal"
"Feel Life's Fear"|"Metalcore"
"Eigengrau"|"Doom Metal"
"L'Appel du Vide"|"Doom Metal"
"Repugnance"|"Deathcore"
"The Spell of Iron MMXI"|"Hard Rock"
"To Live Forever"|"Hard Rock"
"Crows Fly Black"|"Hard Rock"
"Follow Me Into Madness"|"Hard Rock"
"Stigmata"|"Hard Rock"
"Gravity of Light"|"Hard Rock"
"For the Glory of Nothing"|"Hard Rock"
"Anhedonia"|"Rock"
"Her Halo"|"Rock"
"Tears to Dust"|"Rock"
"Esoteric Symbolism"|"Rock"
"Are We Soldiers"|"Rock"
"Dissimulate"|"Grindcore"
"Animosity - EP"|"Grindcore"
"Berzerker"|"Grindcore"
"World of Lies"|"Grindcore"
"Advance Australia Warfare"|"Death Metal"
"Invert Absolute"|"Death Metal"
"War Upon Worship"|"Death Metal"
"Tria Mera - EP"|"Progressive Metal"
"Halloween Universal Jams - EP"|"Doom Metal"
"Neo-Satanic Supremacy"|"Doom Metal"
"The Last Predators"|"Doom Metal"
"Drep De Kristne"|"Doom Metal"
"The Saviours Slain"|"Metalcore"
"Our Enemy Is the Weapon"|"Metalcore"
"Worship the Bled"|"Metalcore"
"Brain Damage"|"Thrash Metal"
"Go and Live... Stay and Die"|"Thrash Metal"
"Feed the Extermination"|"Thrash Metal"
"Legacy of Hate Pt. 3"|"Thrash Metal"
"Requiem - Mezzo Forte"|"Gothic"
"Requiem - Fortissimo"|"Gothic"
"Sombre Romantic"|"Gothic"
"Elegant... And Dying"|"Gothic"
"Control and Resistance"|"Doom Metal"
"While You Were Sleeping - EP"|"Deathcore"
"Take My Breath Away"|"Deathcore"
"Never Tear Us Apart"|"Deathcore"
"Isn't She Lovely - EP"|"Deathcore"
"They Did Unspeakable Things"|"Deathcore"
"Gift of Tongues"|"Death Metal"
"Ein Toter f„hrt gern Ringelspiel"|"Doom Metal"
"Kokon. Ein schaurig - schönes Schachtelst?ck"|"Doom Metal"
"Des Winters finsterer Gesell"|"Doom Metal"
"Ora et Gomorrha"|"Thrash Metal"
"Riotology"|"Thrash Metal"
"The Healing"|"Thrash Metal"
"Frail Words Collapse"|"Death Metal"
"Shadows Are Security"|"Death Metal"
"Beneath the Encasing of Ashes"|"Death Metal"
"Decas"|"Death Metal"
"The Powerless Rise"|"Death Metal"
"An Ocean Between Us"|"Death Metal"
"Shaped by Fire"|"Death Metal"
"Awakened"|"Death Metal"
"Dimension IV"|"Black Metal"
"Mafia"|"Black Metal"
"Nada por nadie"|"Black Metal"
"Libre"|"Black Metal"
"To the Night Sky"|"Neofolk"
"To the Night Sky"|"Neofolk"
"The Lesser Travelled Seas"|"Neofolk"
"Burn Brightly Alone"|"Neofolk"
"Confessions Of A Twisted Mind"|"Metalcore"
"The Drawing Board"|"Metalcore"
"Rise And Fall"|"Neoclassical"
"Eternity Rites"|"Neoclassical"
"In Nomine Aeternitatis"|"Neoclassical"
"The Dissolution Of Eternity"|"Neoclassical"
"Suspiria"|"Doom Metal"
"Metatron"|"Doom Metal"
"Conflict of Interest"|"Doom Metal"
"The Dead Word"|"Rock"
"The January Tree"|"Rock"
"A Lullaby for the Devil"|"Rock"
"A Murder of Crows"|"Rock"
"Dusk And Void Became Alive"|"Darkwave"
"Not to Be Undimensional Conscious"|"Grindcore"
"Ahead"|"Grindcore"
"Life Has Ended Here"|"Industrial Black Metal"
"The Hand and the Sword"|"Industrial Black Metal"
"Bitter Ists Dem Tod Zu Dienen"|"Symphonic Black Metal"
"Hexenwind"|"Symphonic Black Metal"
"Her von welken N„chten"|"Symphonic Black Metal"
"Nicht Um Zu Sterben"|"Symphonic Black Metal"
"Flammentriebe"|"Symphonic Black Metal"
"Durch den Traum (Deluxe edition)"|"Symphonic Black Metal"
"In Luft geritzt (Deluxe Edition)"|"Symphonic Black Metal"
"Freiheit (Deluxe Edition)"|"Symphonic Black Metal"
"Erntezeit (Deluxe Re-Release)"|"Folk"
"Aokigahara"|"Post-Rock"
"III: Trauma"|"Post-Rock"
"Arson"|"Post-Rock"
"Chronicles of Devastation"|"Death Metal"
"To Tread Forsaken Soil"|"Death Metal"
"With Vilest Of Worms To Dwell"|"Folk"
"Tyrants and Wraiths - EP"|"Folk"
"Domus Mundi"|"Folk"
"Opus Magnum"|"Folk"
"Buried Silence"|"Electro"
"Strike the Ground"|"Electro"
"A World so Cold"|"Gothic Metal"
"Where Stories Unfold"|"Gothic Metal"
"Glow Dying Sun"|"Doom Metal"
"Eden"|"Doom Metal"
"Scar"|"Grindcore"
"Mind"|"Grindcore"
"Zero"|"Grindcore"
"Anatomy of Extinction - EP"|"Death Metal"
"The End of Decency"|"Death Metal"
"Sons of Malice"|"Hard Rock"
"Loose 'N' Lethal"|"Hard Rock"
"Burden of Memories"|"Metalcore"
"Theomachia"|"Death Metal"
"Old Mornings Dawn"|"Atmospheric Black Metal"
"Lugburz"|"Atmospheric Black Metal"
"Minas Morgul"|"Atmospheric Black Metal"
"Oath Bound"|"Atmospheric Black Metal"
"Dol Guldur"|"Atmospheric Black Metal"
"Stronghold"|"Atmospheric Black Metal"
"With Doom We Come"|"Atmospheric Black Metal"
"When the Circle of Light Begins to Fade"|"Death Metal"
"Under A New Sun"|"Death Metal"
"Kartika"|"Death Metal"
"The Sombre Light of Isolation"|"Death Metal"
"Sleep of Reason"|"Death Metal"
"Misery Escape"|"Metalcore"
"Origin of the Storm"|"Metalcore"
"Aquis Submersus"|"Black Metal"
"Grotesque Autumnal Weepings"|"Black Metal"
"Guten Tag"|"Ambient"
"Wolfskult"|"Ambient"
"Wolfszeit II"|"Ambient"
"Das Ende aller L?gen"|"Ambient"
"Blutaar"|"Ambient"
"Incessant Desire for Palatable Flesh"|"Death Metal"
"Eternal Endless Infinity"|"Symphonic Power Metal"
"Ethera"|"Symphonic Power Metal"
"Maria Magdalena"|"Symphonic Power Metal"
"Trinity"|"Symphonic Power Metal"
"Cast Away"|"Symphonic Power Metal"
"Delta"|"Symphonic Power Metal"
"I, Devourer"|"Black Metal"
"Wikka"|"Industrial Metal"
"Dreamslave"|"Industrial Metal"
"My Endless Sorrow"|"Death Metal"
"Sunyata"|"Hardcore"
"Perdition Gospel"|"Hardcore"
"Purulence"|"Hardcore"
"Mass Iiii"|"Sludge Metal"
"Mass III"|"Sludge Metal"
"Mass V"|"Sludge Metal"
"Afterlife"|"Sludge Metal"
"Mass VI"|"Sludge Metal"
"Blasfemia Eternal"|"Viking Metal"
"Laguz"|"Viking Metal"
"Dim Carcosa"|"Viking Metal"
"The Diabolic Serenades (Bonus Track Version)"|"Viking Metal"
"Fatherland"|"Viking Metal"
"Storm Over Scaldis"|"Power Metal"
"Fool's Parade"|"Groove Metal"
"Black Fuel"|"Groove Metal"
"Unsafe"|"Groove Metal"
"She Watch Channel Zero?!"|"Groove Metal"
"Stigmatized for Life"|"Groove Metal"
"Kill All Kings"|"Groove Metal"
"Feed 'em With a Brick"|"Groove Metal"
"Downpours of Disapproval"|"Deathcore"
"Hallowed Ground"|"Crust"
"Last Night of Solace"|"Death Metal"
"Moths and Rust"|"Heavy Metal"
"Integral"|"Heavy Metal"
"Sojourner"|"Heavy Metal"
"Telos"|"Heavy Metal"
"... And Darkness Drowned the Land Divine"|"Death Metal"
"Prophecy of Doom"|"Death Metal"
"Cultus Insanus Damnatus"|"Death Metal"
"The Next Room"|"Metalcore"
"In This Life"|"Metalcore"
"Fool's Game"|"Metalcore"
"Amartia"|"Progressive Doom Metal"
"O Solitude"|"Progressive Doom Metal"
"Journey Through Lands Unknown"|"Progressive Doom Metal"
"Intro (1000 Years)"|"Progressive Doom Metal"
"Pantheist"|"Progressive Doom Metal"
"All Is Chaos"|"Post-Metal"
"When The Candle Dies Out"|"Post-Metal"
"Treachery"|"Black Metal"
"When Ice Crowns the Earth"|"Black Metal"
"Dagon"|"Doom"
"Dominate"|"Death Metal"
"Sanctus Ignis"|"Death Metal"
"Underworld"|"Death Metal"
"Adagio of Life and Death"|"Death Metal"
"Mentalize"|"Power Metal"
"Time to Be Free"|"Power Metal"
"The Turn of the Lights"|"Power Metal"
"Acid Rain"|"Progressive Metal"
"Rebirth"|"Progressive Metal"
"Aurora Consurgens"|"Progressive Metal"
"?MNI"|"Progressive Metal"
"Fireworks"|"Progressive Metal"
"Temple of Shadows"|"Progressive Metal"
"Holy Land"|"Progressive Metal"
"Angels Cry"|"Progressive Metal"
"Evil Warning"|"Progressive Metal"
"Aqua"|"Progressive Metal"
"Reaching Horizons"|"Progressive Metal"
"Freedom Call"|"Progressive Metal"
"Secret Garden"|"Progressive Metal"
"My Heroes"|"Grindcore"
"Uncivilized"|"Rock"
"Puzzled - EP"|"Rock"
"When the Sky Turns Black"|"Speed Metal"
"Screams of Anguish"|"Speed Metal"
"In Mourning"|"Speed Metal"
"Sea of Ignorance"|"Speed Metal"
"Ruins of Humans"|"Speed Metal"
"Download Hatred"|"Thrash Metal"
"Claustrofobia"|"Thrash Metal"
"Peste"|"Thrash Metal"
"The Grand Disguise"|"Power Metal"
"The Circus of the Tattered and Torn"|"Power Metal"
"Echoes of Insinity"|"Hard Rock"
"Animal"|"Hard Rock"
"Intactus"|"Hard Rock"
"Defender of Metal"|"Power Metal"
"Heroes of Tomorrow"|"Power Metal"
"Keep It Hellish"|"Power Metal"
"Henceforth"|"Heavy Metal"
"Silent Revenge"|"Speed Metal"
"The Skull Collectors"|"Speed Metal"
"Blind Ride"|"Speed Metal"
"Defying the Rules"|"Speed Metal"
"Beyond the Great Vast Forest"|"Speed Metal"
"As the Autumn Ends"|"Doom Metal"
"The Conquering of the Eternal Wisdom Part I"|"Ambient"
"Time to Be King"|"Power Metal"
"The Masterplan"|"Power Metal"
"Lost and Gone - EP"|"Power Metal"
"Novum Initium"|"Power Metal"
"MK II"|"Power Metal"
"The World Is So Good That Who Made It Doesn't Live Here"|"Death Metal"
"Goetia"|"Death Metal"
"Wicca"|"Death Metal"
"Immemorial"|"Death"
"Skeletons"|"Groove Metal"
"Violence"|"Groove Metal"
"An Audio Guide to Everyday Atrocity"|"Groove Metal"
"Pacifier"|"Groove Metal"
"In Absentia"|"Death Metal"
"Olhos Sem Vida"|"Death Metal"
"A Madrigal of Sorrow"|"Progressive Death Metal"
"Hate"|"Thrash"
"I.N.R.I. (Sarcofago)"|"Thrash"
"Rotting"|"Thrash"
"The Laws of Scourge"|"Thrash"
"The Worst / Crust"|"Thrash"
"Nation"|"Thrash Metal"
"Morbid Visions / Bestial Devastation"|"Thrash Metal"
"The Mediator Between Head and Hands Must Be the Heart"|"Thrash Metal"
"Kairos"|"Thrash Metal"
"Arise"|"Thrash Metal"
"Beneath the Remains"|"Thrash Metal"
"Roorback"|"Thrash Metal"
"Dante XXI"|"Thrash Metal"
"Against"|"Thrash Metal"
"Troops of Doom (Schizophrenia Bonus Track)"|"Thrash Metal"
"Roots (Remastered)"|"Thrash Metal"
"Blood-Rooted"|"Thrash Metal"
"Quadra"|"Thrash Metal"
"A-Lex"|"Thrash Metal"
"Chaos A.D. (Remastered)"|"Thrash Metal"
"Machine Messiah"|"Thrash Metal"
"Sexual Carnage"|"Thrash Metal"
"Dare to Dream"|"Power Metal"
"Inner Monster Out"|"Power Metal"
"Theatre of Shadows"|"Power Metal"
"Shadowside (Single Edit)"|"Power Metal"
"V - Oceans"|"Heavy Metal"
"IV - Mythologi‘ (2015 Version)"|"Heavy Metal"
"Bitter World"|"Groove Metal"
"Hellbound"|"Death Metal"
"Far Beyond Existence"|"Death Metal"
"Pandemonium"|"Death Metal"
"EsquadrÆo De Tortura"|"Death Metal"
"Shivering"|"Death Metal"
"The Unholy Spell"|"Death Metal"
"Return of Evil"|"Death Metal"
"Asylum of Shadows"|"Death Metal"
"Master of Sin - EP"|"Thrash Metal"
"Skulls, Horns & Lust"|"Thrash Metal"
"One"|"Progressive Metal"
"Tales from the Black Book"|"Death"
"Anthropophagy"|"Death"
"Wholly Wicked"|"Death"
"Bloody Vengeance"|"Death"
"Escape from Nightmare"|"Death Metal"
"Stages of Death"|"Death Metal"
"The Last March"|"Death Metal"
"Follow Me"|"Crossover"
"Distant Pain"|"Doom Metal"
"As the Angels Reach the Beauty (Remastered)"|"Doom Metal"
"Diabolical Figures"|"Doom Metal"
"Engraved in Black"|"Doom Metal"
"Collateral Defect"|"Doom Metal"
"(N)Utopia"|"Doom Metal"
"Ascending Hate"|"Doom Metal"
"Fragments of Death"|"Doom Metal"
"Scourge of Malice (Remastered)"|"Doom Metal"
"A Bottle of Friends"|"Alternative Metal"
"No Chance...To See the Sun Again"|"Death Metal"
"End"|"Death Metal"
"Fire Up the Blades"|"Heavy Metal"
"Advance and Vanquish"|"Heavy Metal"
"Battlecry Under a Winter Sun"|"Heavy Metal"
"Here Waits Thy Doom"|"Heavy Metal"
"Long Live Heavy Metal"|"Heavy Metal"
"Unbroken"|"Groove Metal"
"Cease to Suffer"|"Groove Metal"
"Disciples of the Unseen"|"Folk"
"Ruins of Empires"|"Folk"
"Moongod"|"Folk"
"Al Qassam"|"Folk"
"Prison of Desire: The Album - The Sessions (Remaster)"|"Thrash Metal"
"Decipher: The Album - The Sessions"|"Thrash Metal"
"Invisible Circles: The Album ƒ?? The Sessions (Remastered)"|"Thrash Metal"
"This Shameful Burden"|"Funeral Doom Metal"
"Iris"|"Funeral Doom Metal"
"King of the Kill"|"Thrash Metal"
"Refresh the Demon"|"Thrash Metal"
"Feast"|"Thrash Metal"
"Alice In Hell"|"Thrash Metal"
"Waking the Fury"|"Thrash Metal"
"Set the World On Fire"|"Thrash Metal"
"Never, Neverland"|"Thrash Metal"
"For the Demented"|"Thrash Metal"
"Ballistic, Sadistic"|"Thrash Metal"
"Carnival Diablos"|"Thrash Metal"
"Suicide Society (Deluxe Edition)"|"Thrash Metal"
"Schizo Deluxe"|"Thrash Metal"
"All for You"|"Thrash Metal"
"This Is Thirteen"|"Power Metal"
"Hope In Hell"|"Power Metal"
"Back To Basics"|"Power Metal"
"Juggernaut of Justice"|"Power Metal"
"Pound For Pound"|"Power Metal"
"Hard'N'Heavy"|"Power Metal"
"Strength of Steel"|"Power Metal"
"Worth the Weight"|"Power Metal"
"Anthology of Anvil"|"Power Metal"
"Metal On Metal"|"Power Metal"
"Absolutely No Alternative"|"Power Metal"
"Speed of Sound"|"Power Metal"
"Plenty of Power"|"Power Metal"
"Plugged In Permanent"|"Power Metal"
"Legal at Last"|"Power Metal"
"Still Going Strong"|"Power Metal"
"Forged In Fire"|"Power Metal"
"Backwaxed"|"Power Metal"
"The Final Dawn"|"Metalcore"
"Strike"|"Death Metal"
"The List"|"Death Metal"
"Obey"|"Death Metal"
"Baptized In Blood (Special Edition)"|"Metalcore"
"Lay down Thy Burdens"|"Melodic Death"
"Tir Na Nog"|"Melodic Death"
"Earthborn Evolution"|"Technical Death Metal"
"The Aura"|"Technical Death Metal"
"Algorythm"|"Technical Death Metal"
"Quiet Earth"|"Sludge Metal"
"Lovelessness"|"Sludge Metal"
"Dark Ages"|"Sludge Metal"
"Firefight"|"Melodic Death Metal"
"Profugus Mortis"|"Melodic Death Metal"
"Weapons of Mass Distraction"|"Melodic Death Metal"
"Chernobyl Survivor"|"Melodic Death Metal"
"Veiled Hideousness"|"Melodic Death Metal"
"Under An Occult Sun"|"Melodic Death Metal"
"Lord of Misrule"|"Rock"
"The Eldritch Dark"|"Rock"
"Blood Ceremony"|"Rock"
"Living with the Ancients"|"Rock"
"Indoctrine"|"Black Metal"
"Without Any Remorse"|"Grindcore"
"An Unrelenting Assault"|"Grindcore"
"Chronoclast"|"Post-Metal"
"Spoils of Failure"|"Post-Metal"
"Like The Word Love On The Lips Of A Harlot"|"Metalcore"
"Casualties of Cool (Deluxe Version)"|"Ambient"
"Sign of Chaos"|"Grindcore"
"Dark Waters Rise (Demo Cd) - EP"|"Grindcore"
"Eclipsing the Dawn"|"Grindcore"
"Kings Among Men"|"Death Metal"
"None So Vile"|"Technical Death Metal"
"And Then You'll Beg"|"Technical Death Metal"
"The Unspoken King"|"Technical Death Metal"
"Once Was Not"|"Technical Death Metal"
"Blasphemy Made Flesh"|"Technical Death Metal"
"The Book of Suffering: Tome II - EP"|"Technical Death Metal"
"Whisper Supremacy"|"Technical Death Metal"
"Cynicist"|"Metalcore"
"Deathmarch"|"Thrash"
"Portals to Uphobia"|"Thrash Metal"
"Emission Phase"|"Thrash Metal"
"An Epic Defiance"|"Thrash Metal"
"Empath (Deluxe Edition)"|"Ambient"
"Zý"|"Ambient"
"Ocean Machine"|"Ambient"
"Epicloud"|"Ambient"
"Ki"|"Ambient"
"Deconstruction + Ghost (Deluxe Edition)"|"Ambient"
"Deconstruction + Ghost (Deluxe Edition)"|"Ambient"
"Physicist"|"Ambient"
"Transcendence (Deluxe Edition)"|"Ambient"
"Addicted"|"Ambient"
"Christeen"|"Ambient"
"Infinity (Deluxe Edition)"|"Ambient"
"Synchestra"|"Ambient"
"Accelerated Evolution"|"Ambient"
"Terria"|"Ambient"
"Ziltoid the Omniscient"|"Ambient"
"Hallowed Apparition"|"Thrash"
"Nightmare World"|"Thrash"
"The Parallel Otherworld"|"Thrash"
"Storming the Gates"|"Doom Metal"
"Caress the Grotesque"|"Groove Metal"
"The Erosion of Sanity"|"Avant-garde Death Metal"
"Pleiades' Dust"|"Avant-garde Death Metal"
"From Wisdom To Hate"|"Avant-garde Death Metal"
"Colored Sands"|"Avant-garde Death Metal"
"Obscura"|"Avant-garde Death Metal"
"... and Then Comes Lividity"|"Avant-garde Death Metal"
"Considered Dead"|"Avant-garde Death Metal"
"In the Ire of Creation"|"Deathcore"
"Worldly Separation"|"Industrial"
"The Scattering of Ashes"|"Melodic Death Metal"
"Dead or Dreaming"|"Melodic Death Metal"
"The Incurable Tragedy"|"Melodic Death Metal"
"Static Impulse"|"Groove Metal"
"Elements of Persuasion"|"Groove Metal"
"Impermanent Resonance"|"Groove Metal"
"Epic: The Poetry of War"|"Melodic Death Metal"
"Prevail"|"Melodic Death Metal"
"Sorcery + The Mystical Gate of Reincarnation / Temple of Knowledge"|"Melodic Death Metal"
"Sorcery + The Mystical Gate of Reincarnation / Temple of Knowledge"|"Melodic Death Metal"
"Of Ghosts and Gods"|"Melodic Death Metal"
"In the Arms of Devastation"|"Melodic Death Metal"
"Waiting for the End to Come"|"Melodic Death Metal"
"Meditations"|"Melodic Death Metal"
"Victims of This Fallen World"|"Melodic Death Metal"
"Shadows & Dust"|"Melodic Death Metal"
"Serenity in Fire"|"Melodic Death Metal"
"Downpour"|"Grindcore"
"Kymatica"|"Symphonic Extreme Metal"
"Global Enslavement"|"Metalcore"
"Parasignosis"|"Black Metal"
"I Have Tasted the Fire Inside Your Mouth"|"Doom Metal"
"Radiance of Shadows"|"Doom Metal"
"Truth Becomes Death"|"Doom Metal"
"Touched"|"Doom Metal"
"The Bungled & the Botched"|"Doom Metal"
"Skin Turns To Glass"|"Doom Metal"
"Corrasion (2012 Remastered Edition)"|"Doom Metal"
"...And the Raw Metal Power!"|"Death"
"Nemesis"|"Thrash"
"Unity"|"Thrash Metal"
"Stay Ugly"|"Thrash Metal"
"Caress The Despair"|"Metalcore"
"Celestial Hi-Fi"|"Doom Metal"
"Republic?"|"Doom Metal"
"The Electric Sleep"|"Doom Metal"
"Beyond the North Winds"|"Acoustic"
"Godsaga"|"Acoustic"
"Northen"|"Acoustic"
"Sailing the Seas of Fate"|"Acoustic"
"Heavier than Metal"|"Speed Metal"
"Chasing the Dream"|"Speed Metal"
"Inhale"|"Thrash Metal"
"City"|"Thrash Metal with Industrial Influences"
"Heavy As a Really Heavy Thing (Remastered Re-issue + Bonus Tracks)"|"Thrash Metal with Industrial Influences"
"The New Black"|"Thrash Metal with Industrial Influences"
"Alien"|"Thrash Metal with Industrial Influences"
"Armed to the Teeth"|"Power Metal"
"Road Warrior"|"Power Metal"
"Stand in the Fire"|"Power Metal"
"City of Gold"|"Power Metal"
"Eyes in the Night (Bonus Track Version)"|"Power Metal"
"Raven's Call to Annihilation"|"Thrash Metal"
"Honour Is Our Code, Death Is the Reward"|"Thrash Metal"
"Five"|"Metalcore"
"Once Only Imagined"|"Metalcore"
"Eye of Providence"|"Metalcore"
"Orphans"|"Metalcore"
"Prisoners"|"Metalcore"
"Shower of Bricks"|"Thrash Metal"
"Too Many Humans"|"Metalcore"
"Exist"|"Thrash Metal"
"In the Wake of Separation"|"Thrash Metal"
"Geneticide"|"Death Metal"
"Seed the Black Sky"|"Death Metal"
"Thorazine Shuffle"|"Death Metal"
"Metachthonia"|"Folk Black Metal"
"In the Shadow of a Mountain"|"Black Metal"
"In a Flesh Aquarium"|"Progressive Metal"
"Apex"|"Melodic Death Metal"
"Demons of the AstroWaste"|"Melodic Death Metal"
"Abyss"|"Melodic Death Metal"
"Time Stands Still"|"Melodic Death Metal"
"Behold the Devastation"|"Melodic Death Metal"
"Negatron"|"Progressive Metal"
"Angel Rat"|"Progressive Metal"
"Nothingface"|"Progressive Metal"
"War and Pain"|"Progressive Metal"
"Infini"|"Progressive Metal"
"The Wake (Deluxe Edition)"|"Progressive Metal"
"The Outer Limits"|"Progressive Metal"
"Post Society - EP"|"Progressive Metal"
"Phobos"|"Progressive Metal"
"Killing Technology (Expanded Edition)"|"Progressive Metal"
"Target Earth"|"Progressive Metal"
"Katorz"|"Progressive Metal"
"Pursuit of the Sun & Allure of the Earth"|"Doom Metal"
"Woods 5: Grey Skies & Electric Light"|"Doom Metal"
"Against the Seasons - Cold Winter Songs from the Dead Summer Heat - EP"|"Doom Metal"
"Legion of Flames"|"Thrash"
"Bound By Fire"|"Thrash"
"When You Were Shouting at the Devil, We Were in League with Satan"|"Thrash"
"Opilion"|"Deathcore"
"Sol Agnates"|"Deathcore"
"Dying for Life"|"Doom Metal"
